gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Srsf2	0.45932865718223	-0.594221360617672	1	0.143	0.222	0.079
Ehd4	0.462035291118952	-0.193875127368884	1	0.286	0.358	0.072
Rbbp4	0.46550250650432	0.496699296659387	1	0.107	0.099	0.00799999999999999
Wtap	0.465759900798969	0.218881403245868	1	0.152	0.173	0.021
Cyth1	0.466903438099927	-0.776193085855591	1	0.08	0.136	0.056
Lonp2	0.467136258767513	0.895375935504808	1	0.116	0.086	0.03
Ahcyl2	0.467489688056512	-0.210633897435464	1	0.116	0.086	0.03
Tln2	0.467832183123682	-0.332916709896634	1	0.188	0.247	0.059
Wdr43	0.468865528556212	0.716002779502141	1	0.107	0.074	0.033
Trf	0.469154109455474	-0.201155115568873	1	0.143	0.185	0.042
Cap1	0.469479783764337	0.515842568905891	1	0.17	0.148	0.022
BC035044	0.470146339144554	0.772545757541474	1	0.179	0.136	0.043
Atg5	0.470186836483805	0.755096655963314	1	0.143	0.099	0.044
St3gal6	0.471065187581894	-0.571072733805565	1	0.402	0.481	0.079
Insr	0.471567228624866	-0.690424276726824	1	0.179	0.247	0.068
Fry	0.47212486310679	-0.657971221186002	1	0.054	0.111	0.057
Wdr44	0.472143748328	0.292732285503822	1	0.232	0.247	0.015
Ccdc62	0.47241334326776	-0.102811660112189	1	0.107	0.136	0.029
Inpp4b	0.472840173476609	0.177597775844701	1	0.768	0.741	0.027
Vav1	0.473197054854986	0.501230186038855	1	0.339	0.284	0.055
Nudt3	0.47320306685303	-0.327611887307961	1	0.08	0.111	0.031
Bcas3	0.473224386424584	-0.63379032272842	1	0.268	0.395	0.127
Scaf11	0.473972870962253	0.420576505180331	1	0.17	0.173	0.00299999999999997
Ankrd13c	0.474650327384529	-0.134905048655406	1	0.089	0.111	0.022
Hmox2	0.475373960543076	-0.340824711525431	1	0.17	0.235	0.065
Sall1	0.478423223817305	-0.544886311273419	1	0.348	0.395	0.047
Tfe3	0.478793927338389	0.965760712364312	1	0.152	0.111	0.041
Pld4	0.480335944378514	0.596141640014722	1	0.312	0.247	0.065
Pik3r1	0.481067654036209	0.203184110460199	1	0.438	0.383	0.055
Otud5	0.482015285101878	0.941328017518112	1	0.116	0.086	0.03
Agps	0.482546005486414	0.153724211229651	1	0.286	0.321	0.035
Suz12	0.483667160331813	0.230537222495503	1	0.134	0.136	0.002
Nipbl	0.48413692895088	0.314884318302177	1	0.571	0.481	0.09
Znrf3	0.484486310804759	-0.70797932545298	1	0.107	0.136	0.029
Plxnb2	0.484667588196431	0.775230236398517	1	0.161	0.111	0.05
Aatf	0.48477894082964	0.528012711362553	1	0.179	0.136	0.043
Nck1	0.485707687159582	0.827681518831391	1	0.143	0.086	0.057
Aagab	0.48602588318959	-0.992238477348399	1	0.089	0.123	0.034
Apc	0.486043784401792	0.292776775404667	1	0.17	0.21	0.04
Slc30a7	0.486208779290717	0.226119454081852	1	0.161	0.16	0.001
Atp6v0a1	0.487550392162352	0.361114116731023	1	0.25	0.247	0.003
Exoc6	0.487650454028744	0.498641447856083	1	0.277	0.21	0.067
Rab31	0.487874629346959	-0.266668699269708	1	0.348	0.432	0.084
Tut7	0.488142060831701	0.360734783337241	1	0.223	0.198	0.025
Banp	0.489000879922211	-0.782672271095758	1	0.08	0.136	0.056
Trir	0.48903689216478	-0.682653604188581	1	0.062	0.111	0.049
Mrps28	0.489652623218964	0.671836326347699	1	0.107	0.099	0.00799999999999999
Esr1	0.491986258620081	-0.726553912880678	1	0.116	0.185	0.069
Rbm25	0.492608183936289	0.311811072893384	1	0.607	0.531	0.076
Slc12a9	0.493118711501105	-0.313833976618776	1	0.089	0.123	0.034
Pla2g4a	0.493511013237229	-0.406813061560857	1	0.268	0.309	0.041
Slc29a3	0.493978766636128	-0.886152413428511	1	0.134	0.173	0.039
Pbx3	0.496641449082458	0.346737410423038	1	0.223	0.198	0.025
Zfp592	0.497071910557382	0.538936275484441	1	0.116	0.099	0.017
Map2k1	0.498265182414229	0.414438430560938	1	0.321	0.272	0.049
Arl8b	0.498271976528136	0.575845546064305	1	0.125	0.086	0.039
Rala	0.499516043895898	-0.542885615121875	1	0.143	0.173	0.03
Elk4	0.500261061334795	-0.687241615342999	1	0.089	0.136	0.047
Stx2	0.502752363298565	-0.736526940279212	1	0.071	0.111	0.04
Top1	0.503403002161581	-0.617081858862173	1	0.188	0.272	0.084
Copg2	0.504413208657855	-0.418878923826658	1	0.152	0.198	0.046
Son	0.50508642013542	-0.265194077848123	1	0.598	0.679	0.0810000000000001
Exoc6b	0.505786740285707	-0.455037505797951	1	0.232	0.346	0.114
Plxdc1	0.506803121304328	0.326575901945169	1	0.223	0.222	0.001
Osbpl1a	0.507455100988911	-0.726469377281052	1	0.062	0.111	0.049
Arhgap31	0.50844501671209	0.537948930536482	1	0.214	0.173	0.041
Phactr4	0.508595493069958	0.476703392801388	1	0.143	0.123	0.02
Prkce	0.508618143641882	0.619941475005289	1	0.232	0.198	0.034
Qrich1	0.509206667371826	-0.609996826869058	1	0.116	0.185	0.069
AW146154	0.509411135413842	1.08589559119733	1	0.116	0.074	0.042
Lrp1	0.509697695139781	0.234915981189771	1	0.286	0.296	0.01
Pxn	0.510867867720552	1.03065072490607	1	0.161	0.099	0.062
Thap3	0.51138737672485	-1.02745660764074	1	0.062	0.111	0.049
Pggt1b	0.511701316731244	-0.339946020311751	1	0.116	0.16	0.044
Ap2a2	0.511797168374542	0.470074227412171	1	0.116	0.099	0.017
Anapc16	0.512204390640639	1.08396947168559	1	0.116	0.062	0.054
Smarcad1	0.512270866372336	0.876110154613245	1	0.107	0.062	0.045
Ccnt1	0.513691989969496	-1.0193081899064	1	0.054	0.111	0.057
Mlxip	0.514452406187958	0.532659327853965	1	0.125	0.111	0.014
Mark2	0.51483308744267	0.388229972394815	1	0.259	0.185	0.074
Dync1h1	0.515280982529068	-1.08645752109942	1	0.054	0.111	0.057
Tanc2	0.515626220659527	0.22411451169032	1	0.955	0.926	0.0289999999999999
Sbno1	0.520372077832031	0.297501145006935	1	0.098	0.111	0.013
Fez2	0.52209892831044	0.453505206310609	1	0.143	0.123	0.02
Fam133b	0.523203154397882	-0.953498543781431	1	0.08	0.111	0.031
Srsf4	0.52339222334119	-0.283757817582132	1	0.125	0.173	0.048
Abraxas2	0.52482707430395	-0.72154290959056	1	0.089	0.136	0.047
Zyg11b	0.525379985211653	-0.71622821513503	1	0.089	0.16	0.071
Ptpn1	0.526550591807421	-0.187659233382098	1	0.214	0.272	0.058
Rnase4	0.526576734024705	-0.206946964001339	1	0.098	0.123	0.025
Rnf19b	0.526862073097774	-0.180048781917113	1	0.107	0.136	0.029
Nbea	0.52829093432849	0.814847871573112	1	0.125	0.086	0.039
Trmt13	0.528419619173604	-0.47106923832181	1	0.098	0.148	0.05
Gxylt1	0.528709800123073	0.469994481596784	1	0.134	0.123	0.011
Nfix	0.529600524430276	-0.526404752773032	1	0.062	0.111	0.049
Nrros	0.529902645074721	-0.352174965260647	1	0.33	0.395	0.065
Arhgap17	0.530399768652654	-0.191919006327082	1	0.384	0.457	0.073
Mapk1ip1l	0.530660181160242	0.185962628707776	1	0.089	0.111	0.022
Otud4	0.5320139196718	-0.57354643507921	1	0.08	0.111	0.031
Fmn1	0.532470022059933	-0.321015594780978	1	0.098	0.123	0.025
Cpq	0.533234838570628	-0.682630749336761	1	0.098	0.148	0.05
Smad7	0.534100096193759	-0.725389474929638	1	0.098	0.16	0.062
Celf1	0.535281132753607	0.168923654860918	1	0.402	0.395	0.00700000000000001
Trappc6b	0.535571715717799	-0.293972784604848	1	0.08	0.111	0.031
Pkn1	0.535827675755994	-0.29830241076852	1	0.17	0.198	0.028
