gene	p_val	avg_log2FC	p_val_adj	percent_3	percent_0	percent_difference
Oma1	0.857445508993006	0.127471930039758	1	0.211	0.2	0.011
Nubpl	0.857947465939987	-0.267824170490547	1	0.085	0.1	0.015
Plcb2	0.86023716380995	-0.435225354508204	1	0.107	0.13	0.023
Med1	0.860518101333056	-0.188102944117843	1	0.126	0.14	0.014
Atf1	0.861850565961905	-0.211511593776704	1	0.096	0.1	0.004
Scaf11	0.862009479450129	0.218890056560413	1	0.185	0.17	0.015
Ubxn4	0.862855853269996	0.337935690524881	1	0.137	0.11	0.027
Mllt10	0.863191973054501	-0.165649359664628	1	0.396	0.43	0.034
Ccdc50	0.863660318429647	0.29751534340802	1	0.344	0.29	0.054
Clasp2	0.86402418914877	-0.146915553619645	1	0.415	0.41	0.005
Pts	0.86481568466175	-0.139624658593288	1	0.1	0.09	0.01
Niban1	0.864935914642165	0.126334324463205	1	0.215	0.21	0.005
Zscan26	0.866523301526206	0.147126725575672	1	0.119	0.1	0.019
Washc4	0.869322857751823	0.183558702745064	1	0.215	0.21	0.005
Rdx	0.869797030682701	0.224057757321136	1	0.122	0.09	0.032
Smurf1	0.871815213858934	0.828009578632184	1	0.23	0.15	0.08
Rasal3	0.871878835806421	0.142972507855891	1	0.174	0.16	0.014
B4galt1	0.8719998022648	0.232497688086755	1	0.326	0.28	0.046
Resf1	0.872157802707396	0.441850034257778	1	0.189	0.15	0.039
Srsf4	0.87349500227829	-0.458819500473398	1	0.119	0.15	0.031
Esf1	0.873699994046173	-0.564857521124431	1	0.074	0.11	0.036
Cdc42se2	0.873804760001212	0.205472257924535	1	0.119	0.11	0.00899999999999999
Hvcn1	0.874116751949257	-0.16905584934205	1	0.1	0.1	0
Gnai3	0.874473899633886	-0.105394259539198	1	0.1	0.1	0
Tbc1d22a	0.875068950852897	0.17559747739639	1	0.4	0.39	0.01
Shoc2	0.875948003735767	0.568435073099992	1	0.115	0.08	0.035
Smim14	0.879069345195894	-0.671173587717472	1	0.096	0.14	0.044
Snx8	0.880404741001261	-0.517349256483483	1	0.093	0.12	0.027
Esyt2	0.881076900950981	-0.409344710445039	1	0.07	0.1	0.03
Fbxl3	0.881461636506966	-0.428780990693279	1	0.081	0.1	0.019
Hnrnpa2b1	0.882742234882377	-0.113809959934668	1	0.396	0.39	0.00600000000000001
Tut4	0.883481223114149	-0.241175383962487	1	0.13	0.16	0.03
Prkca	0.883747863516569	-0.238502904502495	1	0.404	0.43	0.026
Ppp1r21	0.884816726865416	0.119701644936596	1	0.226	0.22	0.00600000000000001
Acbd3	0.885183050128997	-0.239410396724845	1	0.156	0.17	0.014
Fus	0.885368227090783	-0.152360853507832	1	0.541	0.56	0.019
Bclaf1	0.885546098586402	-0.512447351292584	1	0.141	0.18	0.039
Pepd	0.885724252620343	0.282299820836694	1	0.107	0.1	0.00699999999999999
Cadm2	0.886886317263697	-0.455607352376464	1	0.167	0.24	0.073
Gdi2	0.887357838908841	0.162448703190591	1	0.43	0.4	0.03
Eif4g3	0.887985815634706	0.253569449699214	1	0.359	0.31	0.049
Zfp715	0.888176228252398	-0.175050486370092	1	0.115	0.12	0.00499999999999999
Chd1	0.888312410238281	0.394442543242062	1	0.211	0.17	0.041
Dennd1c	0.888331853805493	-0.230517045620042	1	0.159	0.17	0.011
Wdfy1	0.889209298109249	0.239374682824998	1	0.148	0.13	0.018
Cdk14	0.889456441517287	-0.194830262050187	1	0.185	0.18	0.005
Pot1b	0.889457979719646	-0.213003303817827	1	0.133	0.13	0.003
Hspa4	0.890305622974809	-0.130828977698652	1	0.104	0.1	0.00399999999999999
Orai1	0.891533116462826	-0.138675082933838	1	0.122	0.13	0.00800000000000001
Suz12	0.891691016600313	-0.181799246033459	1	0.107	0.12	0.013
Kif3b	0.892983426892164	0.136072437952795	1	0.111	0.11	0.001
Samhd1	0.893255154110674	0.338927528252523	1	0.167	0.14	0.027
Hps4	0.894886528096915	-0.116358644129584	1	0.226	0.23	0.004
Trim5	0.894894848490074	0.114226736160626	1	0.096	0.1	0.004
Abraxas2	0.895004960190728	-0.584237088562384	1	0.085	0.11	0.025
Cab39l	0.895314116238186	-0.612736188257176	1	0.13	0.16	0.03
Peak1	0.895449507569338	-0.274750997497388	1	0.344	0.32	0.024
Micu1	0.895800056125429	-0.161878900243986	1	0.096	0.1	0.004
Zfand5	0.897010068102598	0.393352375424134	1	0.1	0.08	0.02
Pik3cb	0.898030506951709	0.164156822842003	1	0.219	0.21	0.00900000000000001
Rbfox1	0.898443609992846	-0.399889006355705	1	0.122	0.16	0.038
Pank2	0.898839606437716	-0.242220977451805	1	0.178	0.21	0.032
Ppfibp2	0.899917003309685	0.334688259295633	1	0.111	0.09	0.021
Rhoh	0.90016308106616	0.103681976695423	1	0.315	0.29	0.025
Gmip	0.900386248583615	-0.139266801230917	1	0.263	0.27	0.00700000000000001
Zfp62	0.900740018628836	0.214282532666862	1	0.1	0.1	0
Mecp2	0.901087618679848	0.35497969661193	1	0.193	0.16	0.033
Psme4	0.90176237792998	-0.225747152052997	1	0.152	0.18	0.028
Cds1	0.902920408006968	0.380409037332271	1	0.144	0.11	0.034
Vps4b	0.903372714017314	-0.262428098923172	1	0.104	0.12	0.016
Ptpa	0.903670493804845	-0.313487960512477	1	0.1	0.12	0.02
Serbp1	0.90502028618165	-0.259679964090672	1	0.104	0.13	0.026
Mapre1	0.905088683894813	0.211415534281599	1	0.111	0.09	0.021
Map2k1	0.905322882693641	-0.19132401052248	1	0.233	0.25	0.017
Creb3l2	0.905435809931708	0.433299948628641	1	0.185	0.14	0.045
