gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Stk32b	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Msx1	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Tbc1d1	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Rhoh	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Nmu	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Gnrhr	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Ccdc158	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Hsd17b13	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Acacb	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Cabp1	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Lhx5	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Sdsl	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Oas2	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Rph3a	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Rasa4	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Orai2	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Prkar1b	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Papolb	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Fam220a	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Alox5ap	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Iqub	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Hilpda	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Kcp	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Cpa5	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Tas2r137	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Zfp786	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Wipf3	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Vmn1r32	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Egr4	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Slc41a3	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Oxtr	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Cpne9	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Cand2	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Fxyd4	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Cd163	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Klre1	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Spx	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Pthlh	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Tnnt1	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Ssc5d	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Vmn2r55	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
C5ar2	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Npas1	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Ccdc8	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Tescl	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Tmsb10b	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Erfl	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Sptbn4	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Prx	0.737596741277746	-0.0472375565917713	1	0	0.111	0.111
Ccer2	0.737596741277746	-0.0521783829937861	1	0	0.111	0.111
Hpn	0.737596741277746	-0.143544462238044	1	0	0.111	0.111
Scn1b	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Vmn2r59	0.737596741277746	-0.0830456970048581	1	0	0.111	0.111
Vmn2r61	0.737596741277746	-0.0559929268633876	1	0	0.111	0.111
Siglecf	0.737596741277746	-0.183558326098396	1	0	0.111	0.111
