gene	p_val	avg_log2FC	p_val_adj	percent_PS19	percent_WT	percent_difference
Papss1	0.13566922273844	-2.53882356294789	1	0.167	0.5	0.333
Fhit	0.135860510588592	-0.562958394352953	1	1	1	0
Spsb1	0.136202257201829	2.28816078246109	1	0.833	0	0.833
Raet1e	0.136330583622493	-1.64666963948997	1	0.667	0.5	0.167
Trim30a	0.136366825373721	0.310577744060354	1	0.833	1	0.167
Cyth3	0.137001500382349	-1.46406470322019	1	0.833	0.75	0.083
Hnrnph1	0.137230933107583	-1.60747906677964	1	0.833	1	0.167
Bsg	0.137255000989685	-2.05324404230652	1	0.333	0.75	0.417
Eif1	0.137924996684421	-1.99002659932572	1	0.5	0.75	0.25
Ssbp1	0.138000438465314	-1.901562928278	1	0.5	0.75	0.25
Ccr5	0.138231662476818	-0.897646766738769	1	0.833	0.75	0.083
Eps8	0.138466062644208	-2.84877067570745	1	0.167	0.75	0.583
Tex2	0.138557730095718	-2.50308447174354	1	0.333	0.75	0.417
Tlr4	0.138714011179222	2.30044373047243	1	0.833	0	0.833
Mapk8ip3	0.138979858847612	-1.3586975697165	1	0.667	0.75	0.083
Tgfbr2	0.139086992411007	0.655345279898513	1	1	1	0
Ctsa	0.139103283580715	-1.5286290696183	1	0.833	1	0.167
Arid5b	0.139421831851893	1.13253747382695	1	1	1	0
Dync1i2	0.139514096808434	-1.63325730464449	1	0.5	0.75	0.25
St8sia6	0.139622661454076	2.33280678239472	1	0.667	0	0.667
Ecd	0.139719872801795	-2.45158763003698	1	0.5	1	0.5
Gm3739	0.140179669422315	-1.10619958763764	1	0.667	0.75	0.083
Immp2l	0.14044763935278	-0.416973705557053	1	0.833	1	0.167
Dusp16	0.140865078454548	-1.53147719892831	1	0.667	0.75	0.083
Akap8	0.141301474938388	1.61032688845449	1	0.833	0.25	0.583
Plp1	0.141937455764735	-1.89890929214965	1	0.667	0.75	0.083
Nedd9	0.141960574035419	-1.54063200616329	1	0.667	0.75	0.083
Sec31a	0.142125039998688	0.176927957885844	1	0.833	0.25	0.583
